id	bacterial_strain	organism_type	experiment	replicate	sampling_date	day_in_experiment	unreliable_pop_size	notes	OD600	pred_cells_ml	pred_corrected								
Ec2	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	2	13/03/2017	483	no	NA	NA	84800	42400								
Ec2	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	2	03/04/2017	504	no	NA	NA	42000	21000								
Ec2	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	2	01/05/2017	532	yes	NA	NA	54400	27200								
Ec2	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	2	29/05/2017	560	no	NA	NA	172000	86000								
Ec2	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	2	26/06/2017	588	no	NA	NA	179600	89800								
Ec2	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	2	24/07/2017	616	no	NA	NA	130400	65200								
Ec2	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	2	21/08/2017	644	no	NA	NA	200800	100400								
Ec2	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	2	18/09/2017	672	no	NA	NA	188800	94400								
Ec2	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	2	17/10/2017	701	no	NA	NA	73200	36600								
Ec2	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	2	14/11/2017	729	no	NA	NA	224400	112200								
Ec2	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	2	12/12/2017	757	no	NA	NA	224400	112200								
Ec2	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	2	09/01/2018	785	no	NA	NA	184400	92200								
Ec2	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	2	06/02/2018	813	no	NA	NA	190400	95200								
Ec2	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	2	06/03/2018	841	no	NA	NA	156800	78400								
Ec2	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	2	03/04/2018	869	no	NA	NA	110000	55000								
Ec2	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	2	01/05/2018	897	no	NA	NA	151200	75600								
Ec2	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	2	29/05/2018	925	yes	NA	NA	176800	88400								
Ec2	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	2	26/06/2018	953	no	NA	NA	196400	98200								
Ec2	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	2	24/07/2018	981	no	NA	NA	173600	86800								
Ec2	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	2	21/08/2018	1009	no	NA	NA	59600	59600								
Ec2	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	2	18/09/2018	1037	no	NA	NA	105600	105600								
Ec2	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	2	16/10/2018	1065	no	NA	NA	64000	64000								
Ec2	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	2	13/11/2018	1093	no	NA	NA	60000	60000								
Ec2	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	2	11/12/2018	1121	no	NA	NA	52400	52400								
Ec2	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	2	08/01/2019	1149	yes	NA	NA	77200	77200								
Ec2	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	2	14/01/2019	1155	yes	NA	NA	70400	70400								
Ec2	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	2	21/01/2019	1162	no	NA	NA	49200	49200								
Ec2	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	2	28/01/2019	1169	no	NA	NA	72400	72400								
Ec2	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	2	04/02/2019	1176	no	NA	NA	63200	63200								
Ec2	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	2	11/02/2019	1183	no	NA	NA	75200	75200								
Ec2	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	2	18/02/2019	1190	no	NA	NA	55200	55200								
Ec2	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	2	25/02/2019	1197	no	NA	NA	59200	59200								
Ec2	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	2	04/03/2019	1204	no	NA	NA	NA	NA								
Ec2	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	2	11/03/2019	1211	no	NA	NA	NA	NA								
Ec2	Escherichia_coli_ATCC_11303	ciliate	bacteria-ciliate	2	18/03/2019	1218	no	NA	NA	NA	NA								
Ec3	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	3	16/11/2015	0	no	NA	0.000	NA	NA								
Ec3	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	3	14/12/2015	28	no	NA	0.144	NA	NA								
