Species,Treatment,Medium,Replicate,Timepoint,Isolate,Ratio
BD,CoEvo,KCl,R3,TP1,7,0.613952587332131
BD,CoEvo,KCl,R3,TP1,8,0.5894158406836081
BD,CoEvo,KCl,R3,TP1,9,0.992762533857332
BD,CoEvo,KCl,R3,TP1,10,1.0827589546958485
BD,CoEvo,KCl,R3,TP2,1,1.1105984523374997
BD,CoEvo,KCl,R3,TP2,2,0.9948934933679203
BD,CoEvo,KCl,R3,TP2,3,1.2018469890746981
BD,CoEvo,KCl,R3,TP2,4,0.6261571736200444
BD,CoEvo,KCl,R3,TP2,5,1.0708000666220159
BD,CoEvo,KCl,R3,TP2,6,1.2369440339630533
BD,CoEvo,KCl,R3,TP2,7,0.6184554796017329
BD,CoEvo,KCl,R3,TP2,8,1.0569133925607779
BD,CoEvo,KCl,R3,TP2,9,1.1004964757662419
BD,CoEvo,KCl,R3,TP2,10,0.5865288866681551
BD,Evo,Tetra,R1,TP1,1,0.5879557298402812
BD,Evo,Tetra,R1,TP1,2,0.5878867517166931
BD,Evo,Tetra,R1,TP1,3,0.619361469509945
BD,Evo,Tetra,R1,TP1,4,0.6215480760276878
BD,Evo,Tetra,R1,TP1,5,0.5778573325469827
BD,Evo,Tetra,R1,TP1,6,0.5894525551221431
BD,Evo,Tetra,R1,TP1,7,0.5834928452441309
BD,Evo,Tetra,R1,TP1,8,0.5773124053706368
BD,Evo,Tetra,R1,TP1,9,0.6628452786198857
BD,Evo,Tetra,R1,TP1,10,0.5929014613015482
BD,Evo,Tetra,R1,TP2,1,0.9135945534873615
BD,Evo,Tetra,R1,TP2,2,0.5937567900340408
BD,Evo,Tetra,R1,TP2,3,0.6030550410937171
BD,Evo,Tetra,R1,TP2,4,0.5999510255322524
BD,Evo,Tetra,R1,TP2,5,0.6049105526182371
BD,Evo,Tetra,R1,TP2,6,0.578905800025522
BD,Evo,Tetra,R1,TP2,7,0.6045932532497319
BD,Evo,Tetra,R1,TP2,8,0.622893149437656
BD,Evo,Tetra,R1,TP2,9,0.5847068602192815
BD,Evo,Tetra,R1,TP2,10,0.6154504099024994
BD,Evo,Tetra,R2,TP1,1,0.7372105936602206
BD,Evo,Tetra,R2,TP1,2,0.9425860588314415
BD,Evo,Tetra,R2,TP1,3,0.5751602879146879
BD,Evo,Tetra,R2,TP1,4,1.4166589066277626
BD,Evo,Tetra,R2,TP1,5,0.6132362121353213
BD,Evo,Tetra,R2,TP1,6,0.6892570021417709
BD,Evo,Tetra,R2,TP1,7,0.6680186378889935
BD,Evo,Tetra,R2,TP1,8,0.5732840829530915
BD,Evo,Tetra,R2,TP1,9,1.362524875235819
BD,Evo,Tetra,R2,TP1,10,0.591784015699421
BD,Evo,Tetra,R2,TP2,1,0.5836376993036659
BD,Evo,Tetra,R2,TP2,2,0.5844033564754938
BD,Evo,Tetra,R2,TP2,3,0.5886593067008798
BD,Evo,Tetra,R2,TP2,4,0.5899767888614127
BD,Evo,Tetra,R2,TP2,5,0.6584582699596824
BD,Evo,Tetra,R2,TP2,6,0.7021214221909522
BD,Evo,Tetra,R2,TP2,7,0.5876867151582876
BD,Evo,Tetra,R2,TP2,8,0.5874521895380881
BD,Evo,Tetra,R2,TP2,9,0.6336054520308884
BD,Evo,Tetra,R2,TP2,10,0.5843067871024704
BD,Evo,Tetra,R3,TP1,1,0.648463339851766
BD,Evo,Tetra,R3,TP1,2,0.6567269190576209
BD,Evo,Tetra,R3,TP1,3,0.5648480584382664
BD,Evo,Tetra,R3,TP1,4,1.0399141912142564
BD,Evo,Tetra,R3,TP1,5,0.5914460228938392
BD,Evo,Tetra,R3,TP1,6,0.5785609094075814
BD,Evo,Tetra,R3,TP1,7,0.5638133865844448
BD,Evo,Tetra,R3,TP1,8,0.5716837904858474
BD,Evo,Tetra,R3,TP1,9,0.5736496670081084
BD,Evo,Tetra,R3,TP1,10,0.5660689712257758
BD,Evo,Tetra,R3,TP2,1,0.7458121656716572
BD,Evo,Tetra,R3,TP2,2,0.5985024849369023
BD,Evo,Tetra,R3,TP2,3,0.6547334512859248
BD,Evo,Tetra,R3,TP2,4,0.7119990894887686
BD,Evo,Tetra,R3,TP2,5,0.590142336358024
BD,Evo,Tetra,R3,TP2,6,0.5984886893121847
BD,Evo,Tetra,R3,TP2,7,0.5821201805847276
BD,Evo,Tetra,R3,TP2,8,0.5888179563851323
BD,Evo,Tetra,R3,TP2,9,0.6128568324555868
BD,Evo,Tetra,R3,TP2,10,0.7226424139584131
BD,CoEvo,Tetra,R1,TP1,1,1.3615936705673795
BD,CoEvo,Tetra,R1,TP1,2,1.389847109989067
BD,CoEvo,Tetra,R1,TP1,3,1.4427602285935015
BD,CoEvo,Tetra,R1,TP1,4,1.4926727988218536
BD,CoEvo,Tetra,R1,TP1,5,1.23089392199264
BD,CoEvo,Tetra,R1,TP1,6,1.4439466523192168
BD,CoEvo,Tetra,R1,TP1,7,1.4747246910642289
BD,CoEvo,Tetra,R1,TP1,8,1.421997813393482
BD,CoEvo,Tetra,R1,TP1,9,1.2924637951073816
BD,CoEvo,Tetra,R1,TP1,10,1.44143584862061
BD,CoEvo,Tetra,R1,TP2,1,1.1270818459925434
BD,CoEvo,Tetra,R1,TP2,2,1.0145440373585517
BD,CoEvo,Tetra,R1,TP2,3,1.069209200302124
BD,CoEvo,Tetra,R1,TP2,4,1.0853983659082522
BD,CoEvo,Tetra,R1,TP2,5,1.0615181395220508
BD,CoEvo,Tetra,R1,TP2,6,1.1069954164036877
BD,CoEvo,Tetra,R1,TP2,7,1.1427053909852491
BD,CoEvo,Tetra,R1,TP2,8,1.083039314081539
BD,CoEvo,Tetra,R1,TP2,9,1.119714982393334
BD,CoEvo,Tetra,R1,TP2,10,1.0854466505947638
BD,CoEvo,Tetra,R2,TP1,1,1.4639641037844848
BD,CoEvo,Tetra,R2,TP1,2,1.361000458704522
BD,CoEvo,Tetra,R2,TP1,3,1.3465564396251728
BD,CoEvo,Tetra,R2,TP1,4,1.2442342910945792
BD,CoEvo,Tetra,R2,TP1,5,1.079983583206586
BD,CoEvo,Tetra,R2,TP1,6,1.3765757190107157
BD,CoEvo,Tetra,R2,TP1,7,1.3091633988280618
BD,CoEvo,Tetra,R2,TP1,8,1.5091585703594104
BD,CoEvo,Tetra,R2,TP1,9,1.3720783453527714
BD,CoEvo,Tetra,R2,TP1,10,1.4386836214894445
BD,CoEvo,Tetra,R2,TP2,1,1.1065608542250827
BD,CoEvo,Tetra,R2,TP2,2,1.118942427409147
BD,CoEvo,Tetra,R2,TP2,3,1.1582530600420076
BD,CoEvo,Tetra,R2,TP2,4,1.1545420369929675
BD,CoEvo,Tetra,R2,TP2,5,1.1432779094110304
BD,CoEvo,Tetra,R2,TP2,6,1.1748147075155115
BD,CoEvo,Tetra,R2,TP2,7,1.1439814862716289
BD,CoEvo,Tetra,R2,TP2,8,1.1473131296409342
BD,CoEvo,Tetra,R2,TP2,9,1.1271784153655668
BD,CoEvo,Tetra,R2,TP2,10,1.1832576298426956
BD,CoEvo,Tetra,R3,TP1,1,1.242502940192518
BD,CoEvo,Tetra,R3,TP1,2,1.1050088464443502
BD,CoEvo,Tetra,R3,TP1,3,1.400911201012599
BD,CoEvo,Tetra,R3,TP1,4,1.453734648056369
BD,CoEvo,Tetra,R3,TP1,5,1.4070019693254283
BD,CoEvo,Tetra,R3,TP1,6,1.4793048384704792
BD,CoEvo,Tetra,R3,TP1,7,1.1036154883478704
BD,CoEvo,Tetra,R3,TP1,8,1.120591004562903
BD,CoEvo,Tetra,R3,TP1,9,1.466868082787544
BD,CoEvo,Tetra,R3,TP1,10,1.4632536291115272
BD,CoEvo,Tetra,R3,TP2,1,1.209427929932022
BD,CoEvo,Tetra,R3,TP2,2,1.3517780835807922
BD,CoEvo,Tetra,R3,TP2,3,1.2300041041983536
BD,CoEvo,Tetra,R3,TP2,4,1.2923534301096407
BD,CoEvo,Tetra,R3,TP2,5,1.2817445947017903
BD,CoEvo,Tetra,R3,TP2,6,1.2542016299530603
BD,CoEvo,Tetra,R3,TP2,7,1.1534590804526343
BD,CoEvo,Tetra,R3,TP2,8,1.31126033378514
BD,CoEvo,Tetra,R3,TP2,9,1.211435193328436
BD,CoEvo,Tetra,R3,TP2,10,1.1458852824826606
CT,Evo,KB,R1,TP1,1,1.5079288365903196
CT,Evo,KB,R1,TP1,2,0.9486516775232889
CT,Evo,KB,R1,TP1,3,0.9513763395671356
CT,Evo,KB,R1,TP1,4,0.9516425019261747
CT,Evo,KB,R1,TP1,5,0.921005813546263
CT,Evo,KB,R1,TP1,6,0.9433634517055401
CT,Evo,KB,R1,TP1,7,0.9692022133501433
CT,Evo,KB,R1,TP1,8,1.5015199271555646
CT,Evo,KB,R1,TP1,9,0.938236324157736
CT,Evo,KB,R1,TP1,10,1.150879036212089
CT,Evo,KB,R1,TP2,1,1.2933319324788117
CT,Evo,KB,R1,TP2,2,2.398304966029277
CT,Evo,KB,R1,TP2,3,1.3846816558100439
CT,Evo,KB,R1,TP2,4,2.036772431183021
CT,Evo,KB,R1,TP2,5,1.5423128108145963
CT,Evo,KB,R1,TP2,6,2.127295650346711
CT,Evo,KB,R1,TP2,7,1.4148350493801214
CT,Evo,KB,R1,TP2,8,2.4825873783007624
CT,Evo,KB,R1,TP2,9,2.5746725502556553
CT,Evo,KB,R1,TP2,10,1.4651047138754638
CT,Evo,KB,R2,TP1,1,1.5453106394900884
CT,Evo,KB,R2,TP1,2,0.9198711213840441
CT,Evo,KB,R2,TP1,3,0.9472368144568185
CT,Evo,KB,R2,TP1,4,0.9186243608601246
CT,Evo,KB,R2,TP1,5,0.8990824402885759
CT,Evo,KB,R2,TP1,6,0.948287455347762
CT,Evo,KB,R2,TP1,7,0.9183231771380541
CT,Evo,KB,R2,TP1,8,0.9243468515794633
CT,Evo,KB,R2,TP1,9,0.9788611052742171
CT,Evo,KB,R2,TP1,10,1.035721790292078
CT,Evo,KB,R2,TP2,1,1.9094767808363098
CT,Evo,KB,R2,TP2,2,1.774147229810184
CT,Evo,KB,R2,TP2,3,1.9886460741052039
CT,Evo,KB,R2,TP2,4,2.0034320935770817
CT,Evo,KB,R2,TP2,5,1.9880156895706378
CT,Evo,KB,R2,TP2,6,2.054072984520557
CT,Evo,KB,R2,TP2,7,2.283806121734257
CT,Evo,KB,R2,TP2,8,2.271205435315542
CT,Evo,KB,R2,TP2,9,2.0739721229950265
CT,Evo,KB,R2,TP2,10,2.041185122924984
CT,Evo,KB,R3,TP1,1,1.8707011276878893
CT,Evo,KB,R3,TP1,2,0.9008405127127544
CT,Evo,KB,R3,TP1,3,0.9213350143587586
CT,Evo,KB,R3,TP1,4,0.922189535616726
CT,Evo,KB,R3,TP1,5,1.4509841003011834
CT,Evo,KB,R3,TP1,6,0.902759683406878
CT,Evo,KB,R3,TP1,7,0.907690691321706
CT,Evo,KB,R3,TP1,8,1.3854801428871608
CT,Evo,KB,R3,TP1,9,1.4259998599145478
CT,Evo,KB,R3,TP1,10,1.3495132030538626
CT,Evo,KB,R3,TP2,1,2.0390978496883094
CT,Evo,KB,R3,TP2,2,2.037157666176367
CT,Evo,KB,R3,TP2,3,1.8194788821180916
CT,Evo,KB,R3,TP2,4,1.9177418225117318
CT,Evo,KB,R3,TP2,5,2.096574910695524
CT,Evo,KB,R3,TP2,6,2.108223016039784
CT,Evo,KB,R3,TP2,7,1.821328010086152
CT,Evo,KB,R3,TP2,8,2.1023674441409255
CT,Evo,KB,R3,TP2,9,2.1787070112768783
CT,Evo,KB,R3,TP2,10,1.55606920221335
CT,CoEvo,KB,R1,TP1,1,0.49476080409049517
CT,CoEvo,KB,R1,TP1,2,0.9719128668487774
CT,CoEvo,KB,R1,TP1,3,0.4954892484415493
CT,CoEvo,KB,R1,TP1,4,0.895097009175597
CT,CoEvo,KB,R1,TP1,5,0.4951250262660221
CT,CoEvo,KB,R1,TP1,6,0.9535756811655108
CT,CoEvo,KB,R1,TP1,7,0.49367514183652017
CT,CoEvo,KB,R1,TP1,8,0.879848707711704
CT,CoEvo,KB,R1,TP1,9,0.4949639279960775
CT,CoEvo,KB,R1,TP1,10,0.4948588639069832
CT,CoEvo,KB,R1,TP2,1,2.29291868039504
CT,CoEvo,KB,R1,TP2,2,1.9917909925054278
CT,CoEvo,KB,R1,TP2,3,2.4723051061147294
CT,CoEvo,KB,R1,TP2,4,2.2153953911886246
CT,CoEvo,KB,R1,TP2,5,2.2554108005883586
CT,CoEvo,KB,R1,TP2,6,1.7556419415843658
CT,CoEvo,KB,R1,TP2,7,2.2148910835609716
CT,CoEvo,KB,R1,TP2,8,2.437949148980878
CT,CoEvo,KB,R1,TP2,9,2.0438817678784056
CT,CoEvo,KB,R1,TP2,10,2.1572529242838128
CT,CoEvo,KB,R2,TP1,1,0.494879876724802
CT,CoEvo,KB,R2,TP1,2,0.4944175947327869
CT,CoEvo,KB,R2,TP1,3,0.49407438537507864
CT,CoEvo,KB,R2,TP1,4,1.3394340547734116
CT,CoEvo,KB,R2,TP1,5,1.3135182461301391
CT,CoEvo,KB,R2,TP1,6,0.4960005603418084
CT,CoEvo,KB,R2,TP1,7,1.3538278349793371
CT,CoEvo,KB,R2,TP1,8,1.3459690411150798
CT,CoEvo,KB,R2,TP1,9,1.3237795054983534
CT,CoEvo,KB,R2,TP1,10,0.49586747916228885
CT,CoEvo,KB,R2,TP2,1,0.4977306156755619
CT,CoEvo,KB,R2,TP2,2,0.4969881627792952
CT,CoEvo,KB,R2,TP2,3,0.4939202913777403
CT,CoEvo,KB,R2,TP2,4,1.3220144288015685
CT,CoEvo,KB,R2,TP2,5,1.3188134762204944
CT,CoEvo,KB,R2,TP2,6,1.469727533795615
CT,CoEvo,KB,R2,TP2,7,1.4027386705890592
CT,CoEvo,KB,R2,TP2,8,1.324171744764306
CT,CoEvo,KB,R2,TP2,9,1.3281011416964346
CT,CoEvo,KB,R2,TP2,10,1.3502066260418855
CT,CoEvo,KB,R3,TP1,1,0.49406738110247245
CT,CoEvo,KB,R3,TP1,2,0.4946487357287944
CT,CoEvo,KB,R3,TP1,3,0.49412341528332276
CT,CoEvo,KB,R3,TP1,4,0.8657841283182738
CT,CoEvo,KB,R3,TP1,5,1.1888001681025424
CT,CoEvo,KB,R3,TP1,6,1.4005953631715342
CT,CoEvo,KB,R3,TP1,7,0.49478882118092027
CT,CoEvo,KB,R3,TP1,8,0.4934580093857252
CT,CoEvo,KB,R3,TP1,9,0.4927926034881276
